id,name,pos,team,set-id,set-userid,set-name,ssn-gms,ssn-ssn,pass-2pt,pass-att,pass-cmp,pass-1d,pass-int,pass-sck,pass-td,pass-yds,rush-2pt,rush-car,rush-1d,rush-td,rush-yds,rec-2pt,rec-1d,rec-rec,rec-tgt,rec-td,rec-yds,fum-lost,kck-xpa,kck-xpc,kck-xpm,kck-fga,kck-fgc,kck-fgm,idp-2pr,idp-ast,idp-blk,idp-fmr,idp-fmf,idp-int,idp-pd,idp-sck,idp-saf,idp-tac,idp-tfl,idp-td,tmd-2pr,tmd-blk,tmd-fmf,tmd-fmr,tmd-int,tmd-pa,tmd-sck,tmd-saf,tmd-td,tmd-ya,pr-td,pr-yds,kr-td,kr-yds
OluoFo99,"Foyesade Oluokun",lb,JAX,67206,941105,"Joseph Haggan",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,1,2,1.9,6.2,2,0,115,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FranZa99,"Zaire Franklin",lb,GB,67206,941105,"Joseph Haggan",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,1.2,1,0.3,3,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BaunZa99,"Zack Baun",lb,PHI,67206,941105,"Joseph Haggan",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,1.7,2,1.3,6.5,1.6,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SmitRo98,"Roquan Smith",lb,BAL,67206,941105,"Joseph Haggan",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0.7,0.7,1.5,6,3,0,103,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SpilRo99,"Robert Spillane",lb,NE,67206,941105,"Joseph Haggan",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,1.1,1,1,4.5,1.2,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BernTe99,"Terrel Bernard",lb,BUF,67206,941105,"Joseph Haggan",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,1.2,1,0.1,6.1,0.8,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WalkQu99,"Quay Walker",lb,LV,67206,941105,"Joseph Haggan",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,1,2,1,6,2,0,94,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BoltNi99,"Nick Bolton",lb,KC,67206,941105,"Joseph Haggan",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0.8,1.2,1,5,1.2,0,90,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlShAz99,"Azeez Al-Shaair",lb,HOU,67206,941105,"Joseph Haggan",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0.8,1,1,5.5,1,0,87,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CashBl99,"Blake Cashman",lb,MIN,67206,941105,"Joseph Haggan",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,1.1,0.8,1,6,1.5,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
